Австралийский пилонос;Пилоносы;Пилоносые;Пилоносообразные;Хрящевые;Хордовые
Австралийский погоныш;Погоныши;Пастушковые;Журавлеобразные;Птицы;Хордовые
Австралийский серебристый горбыль;Серебристые;Горбылёвые;Хирургообразные;Лучепёрые;Хордовые
Австралийский совиный козодой;Совиные;Совиные;Aegotheliformes;Птицы;Хордовые
Австралийский странник;Австралийские;Австралийские;Ржанкообразные;Птицы;Хордовые
Австралийский толстохвостый геккон;Австралийские;Carphodactylidae;Чешуйчатые;Пресмыкающиеся;Хордовые
Австралийский тунец;Тунцы;Скумбриевые;Скумбриеобразные;Лучепёрые;Хордовые
Австралийский узкорылый крокодил;Настоящие;Настоящие;Крокодилы;Пресмыкающиеся;Хордовые
Австралийский цветной бекас;Цветные;Цветные;Ржанкообразные;Птицы;Хордовые
Австралийский чеглок;Соколы;Соколиные;Соколообразные;Птицы;Хордовые
Австралийский шишечник;Австралийские;Шишечниковые;Трахихтиобразные;Лучепёрые;Хордовые
Австрало-новозеландский гнюс;Tetronarce;Гнюсовые;Электрические;Хрящевые;Хордовые
Австрало-новозеландский эпигонус;Эпигонусы;Большеглазовые;Окунеобразные;Лучепёрые;Хордовые
Агама колонистов;Агамы;Агамовые;Чешуйчатые;Пресмыкающиеся;Хордовые
Агама Савиньи;Агамы;Агамовые;Чешуйчатые;Пресмыкающиеся;Хордовые
Агама Столички;Paralaudakia;Агамовые;Чешуйчатые;Пресмыкающиеся;Хордовые
Агама-ситана;Ситаны;Агамовые;Чешуйчатые;Пресмыкающиеся;Хордовые
Агами;Агами;Цаплевые;Пеликанообразные;Птицы;Хордовые
Агапантия белобокая;Стеблевые;Усачи;Жесткокрылые;Насекомые;Членистоногие
Агапантия казахстанская;Стеблевые;Усачи;Жесткокрылые;Насекомые;Членистоногие
Агономал Джордена;Агономалы;Морские;Скорпенообразные;Лучепёрые;Хордовые
Агуйа;Орлиные;Ястребиные;Ястребообразные;Птицы;Хордовые
Агути Азары;Агути;Агутиевые;Грызуны;Млекопитающие;Хордовые
Адагумский гольян;Гольяны;Карповые;Карпообразные;Лучепёрые;Хордовые
Аддакс;Addax;Полорогие;Китопарнокопытные;Млекопитающие;Хордовые
Аденская чайка;Ichthyaetus;Чайковые;Ржанкообразные;Птицы;Хордовые
Аджарская ящерица;Скальные;Настоящие;Чешуйчатые;Пресмыкающиеся;Хордовые
Адмирал;Ванессы;Нимфалиды;Чешуекрылые;Насекомые;Членистоногие
Адмирал индийский;Ванессы;Нимфалиды;Чешуекрылые;Насекомые;Членистоногие
Адмиралтейская летучая лисица;Летучие;Крылановые;Рукокрылые;Млекопитающие;Хордовые
Адриатическая морская собачка;Microlipophrys;Собачковые;Собачкообразные;Лучепёрые;Хордовые
Адриатический осётр;Осетры;Осетровые;Осетрообразные;Лучепёрые;Хордовые
Адский вампир;Vampyroteuthis;Vampyroteuthidae;Вампироморфы;Головоногие;Моллюски
Азалиевая тощая моль;Caloptilia;Моли;Чешуекрылые;Насекомые;Членистоногие
Азарская мирикина;Мирикины;Ночные;Приматы;Млекопитающие;Хордовые
Азербайджанская ящерица;Скальные;Настоящие;Чешуйчатые;Пресмыкающиеся;Хордовые
Азиатская база;Хохлатые;Ястребиные;Ястребообразные;Птицы;Хордовые
Азиатская бескоготная выдра;Aonyx;Куньи;Хищные;Млекопитающие;Хордовые
Азиатская корюшка;Корюшки;Корюшковые;Корюшкообразные;Лучепёрые;Хордовые
Азиатская кунья акула;Обыкновенные;Куньи;Кархаринообразные;Хрящевые;Хордовые
Азиатская цивета;Циветы;Виверровые;Хищные;Млекопитающие;Хордовые
Азиатская широкоушка;Широкоушки;Гладконосые;Рукокрылые;Млекопитающие;Хордовые
Азиатский барсук;Барсуки;Куньи;Хищные;Млекопитающие;Хордовые
Азиатский бекас;Бекасы;Бекасовые;Ржанкообразные;Птицы;Хордовые
Азиатский бекасовидный веретенник;Бекасовидные;Бекасовые;Ржанкообразные;Птицы;Хордовые
Азиатский белохохлый калао;Белохохлые;Птицы;Птицы;Птицы;Хордовые
Азиатский буйвол;Азиатские;Полорогие;Китопарнокопытные;Млекопитающие;Хордовые
Азиатский бурундук;Eutamias;Беличьи;Грызуны;Млекопитающие;Хордовые
